Date,USD,EUR,GBP,INR,AED,CNY
7/01/1985,298.25,392.55,261.17,3741.23,1091.58,835.8
8/01/1985,302,395.32,263.07,3820.7,1114.06,853.01
9/01/1985,300.5,393.54,263.14,3742.23,1097.47,840.31
10/01/1985,303.8,397.63,268.02,3853.39,1126.83,862.79
11/01/1985,304.25,398.6,270.57,3845.57,1135.85,869.69
14/01/1985,299,395.39,269.13,3790.08,1109.51,859.68
15/01/1985,301.8,398.73,269.46,3804.07,1105.34,856.45
16/01/1985,302.7,400.11,270.63,3818.67,1106.46,857.32
17/01/1985,305.5,402.99,273.01,3859.89,1118.4,866.57
18/01/1985,308,406.15,274.76,3883.32,1120.42,868.14
21/01/1985,307.25,404.61,273.48,3891.13,1129.9,866.49
22/01/1985,306.9,403.45,272.92,3864.48,1128.16,865.15
23/01/1985,300.25,396.15,270.37,3842.37,1124.88,862.64
24/01/1985,300.85,394.79,269.22,3815.78,1117.1,856.67
25/01/1985,298.85,393.15,269.11,3805.49,1114.09,854.36
28/01/1985,297.75,391.63,268,3789.62,1098.45,840.09
29/01/1985,303.25,399.59,272.1,3830.1,1112.97,851.19
30/01/1985,302.9,398.15,268.89,3793.73,1099.3,840.74
31/01/1985,306.65,402.82,271.13,3834.78,1101.79,842.64
1/02/1985,303.6,400.05,269.99,3861.16,1107.8,847.23
4/02/1985,301.25,401.44,270.42,3839.36,1106.11,850.8
5/02/1985,302.05,403.85,271.75,3844.69,1110.44,854.12
6/02/1985,302.85,404.56,271.86,3863.15,1114.19,857.01
7/02/1985,301.65,405.8,270.17,3843.06,1108.4,852.55
8/02/1985,299.8,404.45,269.97,3861.46,1107.39,851.78
11/02/1985,300.15,407.29,273.73,3871.41,1100.69,849.06
12/02/1985,302.5,412.8,278.03,3933.16,1121.86,865.39
13/02/1985,303.2,414.89,278.68,3919.84,1119.64,863.68
14/02/1985,304.15,415.55,278.53,3918.76,1117.75,862.22
15/02/1985,304,412.63,275.49,3908.11,1111.57,857.45
18/02/1985,304.5,416.4,278.46,3917.56,1119.22,865.35
19/02/1985,302.6,416.1,276.73,3923.52,1111.88,859.67
20/02/1985,302.9,419.37,278.91,3943.74,1119.19,865.32
21/02/1985,299.85,418.42,277.13,3942.27,1120.36,866.23
22/02/1985,298.4,420.94,277.07,3918.61,1113.63,861.03
25/02/1985,284.25,408.71,269.56,3855.67,1067.05,839.47
26/02/1985,285.75,408.29,271.5,3740.12,1050.64,826.57
27/02/1985,290.8,402.81,267.4,3702.36,1037.16,815.96
28/02/1985,287.75,400.46,266.44,3783.14,1043.65,821.07
1/03/1985,287.25,401.54,267.83,3751.75,1042.26,819.98
